id,title,source,price,currency,listing_created_on,is_active,last_modified_timestamp
42210,Malone-Thompson,Apartments.com,1654.8,USD,02/11/2023,TRUE,07/01/2023
42211,"Martin, Baker and Brock",Zillow,3803.13,INR,24/12/2023,FALSE,31/12/2023
42212,Turner-Leblanc,Zillow,3713.87,EUR,29/11/2021,TRUE,12/09/2023
42213,Warren-Moore,Airbnb,2827.5,EUR,05/12/2023,TRUE,01/05/2023
42214,Gray-Taylor,Airbnb,3152.49,USD,12/03/2023,FALSE,04/09/2020
42215,Maynard and Sons,Realtor,2809.76,EUR,08/06/2022,FALSE,29/02/2020
42216,"Lin, Berry and Collier",Apartments.com,1849.06,USD,16/08/2023,FALSE,28/02/2023
42217,Bowman Ltd,Airbnb,4306.69,INR,09/10/2023,FALSE,11/03/2022
42218,Bowen LLC,Realtor,4689.96,INR,08/11/2021,TRUE,15/02/2025
42219,Pugh Inc,Airbnb,3780.18,INR,23/10/2022,TRUE,12/02/2024
42220,"Miller, Santana and Ortiz",Zillow,2839.13,INR,16/02/2022,FALSE,03/08/2020
42221,Morrison Ltd,Realtor,2138.9,INR,02/12/2021,TRUE,04/07/2024
42222,Jones-Harris,Realtor,2516.11,INR,15/12/2020,TRUE,06/02/2022
42223,Ramos Inc,Realtor,1714.57,USD,30/10/2021,FALSE,01/10/2022
42224,"Smith, Gordon and Parrish",Realtor,4702.06,USD,22/12/2021,FALSE,10/12/2021
42225,Smith-Meadows,Craigslist,4119.4,EUR,13/10/2021,FALSE,17/11/2020
42226,Carpenter-Ochoa,Airbnb,2377.17,INR,15/01/2021,FALSE,23/02/2025
42227,Vincent-King,Realtor,2046.42,INR,03/02/2021,TRUE,29/09/2022
42228,"Sanchez, Gutierrez and Ochoa",Apartments.com,4082.52,EUR,20/04/2022,TRUE,07/01/2025
42229,"Vasquez, Owen and Fisher",Apartments.com,4960.58,INR,23/02/2021,FALSE,29/03/2020
42230,Kennedy-Smith,Craigslist,1140.49,INR,11/09/2020,TRUE,06/09/2022
42231,Douglas-Baker,Zillow,2939.26,EUR,13/02/2023,TRUE,12/04/2023
42232,Sanchez LLC,Craigslist,2677.21,USD,04/12/2022,TRUE,15/04/2023
42233,"Burke, Miranda and Jones",Apartments.com,1170.34,EUR,15/04/2022,FALSE,04/10/2022
42234,Howell-Shaffer,Realtor,3362.05,USD,05/03/2021,FALSE,26/11/2023
42235,"Jennings, Weber and Vincent",Zillow,3383.04,USD,09/12/2022,TRUE,08/06/2022
42236,"Burton, Hill and Conley",Craigslist,3950.37,USD,06/01/2025,TRUE,24/01/2025
42237,Matthews PLC,Realtor,4368.01,USD,16/04/2021,TRUE,29/08/2023
42238,Wilson-Gray,Zillow,2700.18,EUR,16/03/2021,TRUE,30/03/2024
42239,Holland-Pugh,Apartments.com,1451.98,USD,13/09/2023,TRUE,07/03/2021
42240,Butler PLC,Realtor,4502.19,INR,02/01/2025,FALSE,23/03/2023
42241,Allen LLC,Zillow,3014.37,USD,18/02/2023,FALSE,10/02/2020
42242,"Mills, Mcbride and Pugh",Apartments.com,1326.82,USD,17/04/2024,FALSE,20/02/2020
42243,"Wilcox, Torres and May",Realtor,3221.65,USD,24/06/2023,TRUE,19/03/2021
42244,Lewis-Jones,Craigslist,2800.22,INR,02/05/2022,TRUE,08/05/2024
42245,Baker Group,Apartments.com,1561.28,INR,18/04/2023,TRUE,10/02/2025
42246,Miller-Green,Apartments.com,2647.95,INR,14/11/2022,FALSE,15/07/2021
42247,Riggs-Chapman,Airbnb,3685.84,INR,23/08/2021,FALSE,18/11/2022
42248,"Johnston, Watson and Johnston",Realtor,3176.78,EUR,27/02/2024,TRUE,20/01/2025
42249,Wolfe Group,Airbnb,1773.16,INR,03/10/2020,TRUE,03/06/2023
42250,"Evans, Wong and Wilson",Realtor,1024.95,EUR,30/10/2021,TRUE,08/09/2024
42251,Smith-Hicks,Realtor,3361.6,USD,19/06/2020,FALSE,24/07/2020
42252,Villegas-Soto,Craigslist,2807.54,INR,12/12/2021,TRUE,04/02/2021
42253,Blair-Lee,Realtor,1999.7,INR,06/06/2024,TRUE,07/11/2022
42254,Nelson-Anderson,Airbnb,2543.13,USD,29/01/2024,TRUE,01/01/2025
42255,Rose-Melton,Realtor,3808.42,EUR,18/05/2023,FALSE,28/09/2022
42256,Johnson PLC,Apartments.com,3710.97,INR,01/06/2021,FALSE,22/12/2023
42257,Gray-Mcbride,Airbnb,1935.87,USD,14/02/2020,TRUE,09/03/2022
42258,Smith Group,Craigslist,1777.28,EUR,02/01/2021,FALSE,23/03/2021
42259,"Henson, Gross and Smith",Craigslist,2468.52,EUR,06/02/2022,FALSE,24/03/2024
42260,"Avila, Vaughan and Dorsey",Realtor,1998.52,INR,09/09/2023,TRUE,05/03/2024
42261,"Hughes, Vega and Brewer",Realtor,2102.28,INR,13/01/2024,TRUE,25/05/2022
42262,Holloway PLC,Craigslist,2444.79,INR,21/10/2024,TRUE,04/12/2023
42263,Smith and Sons,Airbnb,4009.92,EUR,07/04/2023,FALSE,16/12/2024
42264,"Contreras, Aguilar and Hutchinson",Realtor,3862.9,EUR,31/08/2021,TRUE,15/10/2020
42265,Jacobson-White,Apartments.com,2729.84,USD,15/01/2022,FALSE,06/01/2024
42266,Gonzalez-Wilson,Realtor,4169.35,INR,03/02/2025,TRUE,14/03/2024
42267,Morales-Washington,Craigslist,2061.62,USD,02/11/2023,TRUE,18/06/2022
42268,"Davis, Cole and Vaughan",Airbnb,4045.21,EUR,08/05/2024,TRUE,09/11/2022
42269,Mitchell-Bradley,Airbnb,4906.95,EUR,19/08/2022,FALSE,03/08/2023
42270,Barrera Ltd,Airbnb,4943.73,USD,11/05/2021,TRUE,28/09/2021
42271,Robertson LLC,Apartments.com,2485.72,USD,18/02/2025,TRUE,30/03/2023
42272,Hicks Inc,Zillow,3824.05,USD,25/12/2021,FALSE,15/05/2024
42273,"Thomas, Richard and Olsen",Zillow,4566.1,EUR,13/08/2022,FALSE,17/08/2021
42274,Thomas and Sons,Apartments.com,1831.41,USD,23/10/2022,FALSE,10/07/2024
42275,Wright-Bradley,Airbnb,1157.95,EUR,09/03/2025,FALSE,05/08/2021
42276,Ware-Wilkinson,Craigslist,1409.31,INR,11/12/2024,FALSE,09/12/2022
42277,"Steele, West and Walker",Zillow,2290.77,INR,25/08/2024,FALSE,06/09/2022
42278,"Pennington, Douglas and Nguyen",Craigslist,1165.52,USD,26/05/2023,TRUE,18/01/2020
42279,Murray-Johnson,Airbnb,3821.29,EUR,11/03/2023,FALSE,26/12/2022
42280,"Horton, Watson and Barnes",Airbnb,3356.92,INR,05/12/2021,TRUE,31/07/2022
42281,"Weaver, Tapia and Thompson",Zillow,1767.71,USD,01/11/2022,FALSE,07/11/2021
42282,"Sawyer, Reyes and Johnson",Craigslist,3149.33,USD,15/02/2022,FALSE,06/04/2024
42283,Keller Inc,Craigslist,1435.34,INR,06/08/2024,TRUE,08/03/2024
42284,Huffman Inc,Craigslist,3385.17,USD,12/11/2020,FALSE,28/05/2021
42285,Morales Ltd,Airbnb,1095.06,INR,23/08/2022,TRUE,04/07/2023
42286,Brown-Zavala,Zillow,2336.66,EUR,31/12/2021,FALSE,08/08/2024
42287,Gray-Rose,Apartments.com,1120.48,INR,07/06/2022,TRUE,15/06/2023
42288,"Mooney, Gomez and Vaughn",Airbnb,3938.24,EUR,13/01/2023,TRUE,29/04/2022
42289,"Davis, Elliott and Faulkner",Apartments.com,2946.9,INR,23/01/2025,TRUE,20/12/2022
42290,Young PLC,Zillow,2524.67,INR,01/04/2024,FALSE,27/01/2022
42291,Rice Group,Zillow,4874.37,USD,06/07/2020,TRUE,24/06/2023
42292,Owen PLC,Apartments.com,1302.44,INR,27/06/2021,TRUE,15/07/2022
42293,Rogers-Oneill,Airbnb,4839.77,EUR,02/05/2022,TRUE,21/10/2021
42294,Horne Ltd,Realtor,4232.35,EUR,29/01/2025,FALSE,22/01/2023
42295,"Green, Blanchard and Griffin",Craigslist,3051.77,USD,28/04/2021,TRUE,16/04/2024
42296,Parsons and Sons,Craigslist,3065.74,EUR,30/08/2023,TRUE,03/10/2024
42297,Johnson and Sons,Craigslist,1694.12,INR,16/11/2021,FALSE,22/10/2020
42298,Maldonado Ltd,Craigslist,2291.89,USD,13/07/2023,TRUE,10/12/2022
42299,"Kim, Lopez and Munoz",Zillow,2252.25,USD,02/05/2023,TRUE,30/11/2022
42300,"Mcdonald, Moon and Cook",Craigslist,4139.74,INR,06/08/2022,FALSE,23/11/2020
42301,"Dixon, Clark and Diaz",Zillow,3883.47,INR,31/12/2022,TRUE,11/10/2023
42302,Park-Villa,Craigslist,3414.53,INR,20/09/2022,FALSE,10/09/2021
42303,Wong LLC,Realtor,1176.12,INR,16/04/2023,TRUE,26/05/2020
42304,Peters-Ryan,Realtor,1754.5,USD,27/01/2023,TRUE,08/03/2023
42305,"Hayes, Morgan and Maynard",Airbnb,2748.96,EUR,27/02/2021,TRUE,13/04/2020
42306,Watson Ltd,Airbnb,2286.09,INR,09/05/2020,TRUE,19/01/2024
42307,Miller and Sons,Craigslist,2822.95,USD,27/10/2022,FALSE,05/04/2021
42308,"Good, Boyd and Hill",Apartments.com,1184.54,EUR,01/01/2024,FALSE,25/09/2022
42309,Wilson and Sons,Zillow,1691.84,INR,10/08/2022,TRUE,25/02/2020
42310,Hobbs Inc,Craigslist,4534.63,INR,03/07/2023,FALSE,18/02/2023
42311,"Washington, Bell and Everett",Zillow,4867.63,EUR,08/02/2021,FALSE,04/08/2024
42312,Schneider Inc,Realtor,2193.49,USD,04/02/2024,TRUE,12/11/2022
42313,"Grant, Stokes and Cruz",Realtor,2056.17,INR,27/10/2024,FALSE,14/05/2020
42314,Pennington-Marks,Airbnb,4799.41,USD,22/05/2021,FALSE,10/08/2022
42315,Bradley-Stewart,Craigslist,3005.95,EUR,26/08/2021,FALSE,05/05/2021
42316,"Fowler, Nguyen and Richardson",Craigslist,2796.79,EUR,05/09/2021,TRUE,30/04/2020
42317,Freeman-Willis,Craigslist,3410.18,INR,27/12/2024,TRUE,18/03/2021
42318,Bean LLC,Zillow,4941.19,EUR,04/04/2022,FALSE,23/11/2021
42319,"Smith, Williams and Gutierrez",Zillow,1575.08,EUR,25/09/2020,TRUE,31/03/2022
42320,"Smith, Campbell and Oliver",Airbnb,2228.86,USD,08/05/2023,FALSE,23/06/2021
42321,Murray and Sons,Airbnb,3317.86,EUR,26/05/2023,TRUE,23/10/2021
42322,Arnold-Mcmillan,Airbnb,4555.86,INR,22/12/2022,TRUE,28/09/2024
42323,Reed Group,Realtor,2602.47,USD,14/09/2020,FALSE,04/01/2021
42324,"Espinoza, Pierce and Peterson",Apartments.com,4013.56,INR,28/10/2022,TRUE,12/07/2023
42325,Hernandez Group,Airbnb,2273.3,EUR,31/03/2020,FALSE,25/07/2021
42326,"Elliott, Smith and Alvarado",Realtor,1975.14,USD,21/07/2024,FALSE,27/06/2020
42327,"Bush, Willis and Martinez",Zillow,1014.09,EUR,27/09/2024,TRUE,18/09/2021
42328,Gould PLC,Airbnb,4263.26,INR,13/01/2020,FALSE,03/07/2024
42329,Riggs-Salazar,Craigslist,1887.07,INR,11/11/2024,TRUE,15/07/2020
42330,"Skinner, Reyes and West",Realtor,1523.49,EUR,14/02/2020,FALSE,14/01/2022
42331,Torres-Rojas,Realtor,1698.64,INR,09/09/2022,FALSE,04/03/2020
42332,Brown PLC,Airbnb,4240.59,EUR,30/09/2020,TRUE,04/07/2020
42333,Buchanan Inc,Apartments.com,2652.08,EUR,02/04/2021,FALSE,15/04/2024
42334,Boone Group,Zillow,3039.66,EUR,22/12/2023,TRUE,17/02/2023
42335,Shaw-Hale,Craigslist,1920.31,USD,02/02/2023,FALSE,21/09/2023
42336,"Zimmerman, Sullivan and Richardson",Zillow,1914.5,USD,25/07/2022,FALSE,11/06/2022
42337,Cochran and Sons,Realtor,1326.32,INR,25/04/2023,TRUE,05/11/2021
42338,Smith Group,Realtor,3693.15,EUR,24/11/2024,TRUE,09/12/2021
42339,Johnson-Martin,Zillow,2894.95,USD,15/03/2024,FALSE,07/09/2020
42340,"Adams, Scott and Fox",Apartments.com,1530.42,EUR,02/10/2024,FALSE,07/08/2021
42341,"Peterson, Ramirez and Robinson",Craigslist,2380.07,INR,14/02/2023,TRUE,30/06/2021
42342,Johnson LLC,Apartments.com,4325.79,USD,20/09/2023,FALSE,16/04/2021
42343,"Jones, Martinez and Martinez",Zillow,1506.1,USD,12/12/2024,FALSE,21/08/2021
42344,Thompson Inc,Craigslist,1053.89,USD,20/02/2025,FALSE,09/12/2022
42345,"Thomas, Gray and Armstrong",Airbnb,4003.48,USD,24/12/2023,TRUE,01/01/2022
42346,"Smith, Morgan and Kramer",Apartments.com,3849.34,INR,07/02/2021,TRUE,26/08/2024
42347,Reyes-Rivera,Craigslist,1657.74,EUR,28/12/2023,TRUE,17/11/2022
42348,Bass LLC,Airbnb,3129.56,INR,01/01/2023,TRUE,09/10/2023
42349,Ross Group,Airbnb,1457.78,EUR,12/09/2021,TRUE,27/12/2023
42350,Christensen LLC,Realtor,1919.65,USD,18/01/2025,FALSE,23/08/2023
42351,Howell Ltd,Craigslist,3599.57,INR,17/05/2024,FALSE,23/02/2020
42352,"Mullen, White and Jones",Realtor,2920.26,INR,06/01/2023,TRUE,21/05/2023
42353,"Hamilton, Deleon and Walker",Craigslist,3424.37,EUR,07/04/2023,TRUE,16/05/2020
42354,"Leblanc, Russell and Diaz",Apartments.com,4584.51,USD,30/12/2024,FALSE,07/01/2022
42355,"Valentine, Gibson and Hernandez",Apartments.com,1100.78,INR,25/11/2020,TRUE,28/07/2023
42356,Schwartz-Doyle,Craigslist,4780.52,EUR,27/07/2023,TRUE,10/04/2023
42357,Campbell Inc,Craigslist,2889.13,USD,27/05/2022,FALSE,16/12/2020
42358,"Hernandez, Farrell and Sawyer",Zillow,2170.84,INR,11/03/2025,TRUE,21/02/2020
42359,"Weaver, Wright and Walsh",Zillow,2996.05,EUR,21/05/2022,FALSE,27/03/2023
42360,"Hawkins, Santana and Singh",Realtor,2772.68,EUR,19/01/2023,FALSE,29/04/2023
42361,Whitney-Miller,Airbnb,1762.92,USD,01/05/2020,TRUE,05/08/2024
42362,"Salinas, Bean and Kane",Craigslist,2541.2,INR,03/05/2021,TRUE,04/01/2025
42363,"Moran, Garcia and Wong",Realtor,3960.51,EUR,20/02/2025,FALSE,13/11/2021
42364,Maxwell-Murray,Zillow,4725.44,USD,14/01/2020,FALSE,13/04/2021
42365,"Brown, Duarte and Perez",Airbnb,3170.45,EUR,26/11/2023,TRUE,03/06/2023
42366,Smith LLC,Craigslist,4354.91,EUR,20/01/2025,TRUE,20/03/2024
42367,"Nichols, Williams and Smith",Apartments.com,4532.03,INR,02/03/2023,FALSE,06/03/2023
42368,"Cross, Duarte and Lewis",Realtor,1740.26,INR,14/10/2023,FALSE,18/06/2020
42369,Nichols PLC,Realtor,2174.4,INR,08/03/2020,TRUE,05/06/2024
42370,Perez Group,Realtor,4681.16,EUR,18/07/2021,TRUE,29/09/2024
42371,Davidson Inc,Apartments.com,2695.61,USD,25/02/2023,TRUE,11/06/2021
42372,Lewis LLC,Zillow,4312.78,USD,23/11/2024,FALSE,05/02/2022
42373,Williams-Anderson,Craigslist,2003.99,INR,18/06/2020,FALSE,16/09/2020
42374,Harris-Camacho,Apartments.com,1513.26,EUR,16/07/2021,FALSE,07/09/2022
42375,Sanchez PLC,Zillow,4066.79,USD,23/04/2023,FALSE,06/01/2020
42376,"Davis, Thornton and Wall",Craigslist,2417.8,USD,19/10/2023,TRUE,04/05/2021
42377,Rhodes Inc,Zillow,4286.09,USD,01/05/2024,FALSE,17/03/2024
42378,Turner-Sullivan,Airbnb,1047.9,USD,07/05/2022,FALSE,06/07/2022
42379,Jones-Ramirez,Apartments.com,3985.41,USD,26/11/2023,TRUE,13/08/2023
42380,"Romero, Burnett and Kent",Apartments.com,4298.39,USD,27/06/2021,TRUE,15/04/2020
42381,Martinez and Sons,Craigslist,2359.13,INR,31/01/2024,FALSE,02/03/2020
42382,Mitchell-Burton,Realtor,1636.53,EUR,20/09/2024,FALSE,25/01/2025
42383,Butler and Sons,Zillow,4767.57,EUR,17/02/2020,FALSE,22/09/2023
42384,Byrd Inc,Apartments.com,2231.08,USD,24/09/2021,TRUE,13/09/2024
42385,Roberts-Cruz,Craigslist,3293.56,USD,01/02/2024,FALSE,19/03/2024
42386,Rowe-Lam,Airbnb,2769.22,INR,26/04/2020,FALSE,18/12/2022
42387,Bowers Inc,Airbnb,1275.26,EUR,27/08/2020,FALSE,26/04/2024
42388,Burns-Lee,Realtor,2192.19,EUR,03/10/2021,FALSE,02/12/2023
42389,"Ross, Miller and Jones",Zillow,2228.33,USD,23/11/2024,FALSE,10/09/2022
42390,Smith LLC,Zillow,3306.96,USD,28/01/2022,TRUE,12/01/2020
42391,Evans-Yates,Airbnb,4834.47,EUR,12/12/2023,FALSE,15/05/2020
42392,"Byrd, Munoz and Hopkins",Airbnb,2191.92,INR,29/06/2021,FALSE,20/03/2022
42393,Duffy-Kline,Realtor,2966.84,USD,18/08/2024,FALSE,20/11/2024
42394,"Miller, Contreras and Lambert",Realtor,2970.02,USD,11/03/2020,FALSE,15/01/2024
42395,"Snyder, Newton and Jacobs",Realtor,2449.1,EUR,10/09/2022,FALSE,07/02/2025
42396,"Marsh, Smith and Knapp",Zillow,4785.55,EUR,27/11/2023,FALSE,27/08/2022
42397,Boyd-Taylor,Apartments.com,3364.3,USD,14/10/2021,FALSE,10/08/2022
42398,Perez LLC,Realtor,3695.09,USD,11/09/2024,FALSE,19/11/2023
42399,Washington-Hernandez,Craigslist,4089.96,USD,01/01/2025,TRUE,19/06/2021
42400,Kelly and Sons,Apartments.com,3359.49,USD,02/05/2022,TRUE,22/09/2024
42401,Campbell-Bauer,Airbnb,4021.1,EUR,28/02/2024,FALSE,13/12/2020
42402,Smith Ltd,Zillow,4214.32,INR,16/03/2024,TRUE,14/02/2023
42403,"Campbell, Hudson and Short",Realtor,2211.77,INR,03/07/2022,FALSE,26/04/2022
42404,Ramos-Russell,Realtor,3669.03,INR,29/05/2023,FALSE,12/09/2021
42405,Brewer PLC,Apartments.com,4896.12,USD,05/01/2023,FALSE,15/02/2022
42406,Hernandez Ltd,Zillow,1526.8,INR,15/02/2020,TRUE,24/05/2021
42407,Fernandez-Curtis,Realtor,3164.87,INR,13/05/2020,TRUE,18/06/2020
42408,"Garcia, Duffy and Hill",Zillow,2800.55,EUR,01/04/2023,FALSE,17/12/2023
42409,"Ward, Williams and Ford",Zillow,3261.31,EUR,10/10/2021,TRUE,02/08/2024
42410,Roberts LLC,Zillow,3672.59,INR,03/09/2021,FALSE,10/03/2022
42411,"Reed, Curry and Fisher",Realtor,4991.41,EUR,13/02/2022,FALSE,13/08/2024
42412,Fisher-Howard,Craigslist,1522.98,USD,22/03/2024,TRUE,19/11/2023
42413,"Scott, Boone and Sexton",Realtor,1959.12,USD,24/10/2024,FALSE,28/01/2025
42414,"Kennedy, Gillespie and Lewis",Zillow,4045.11,USD,02/06/2024,TRUE,15/10/2020
42415,"Woods, Welch and Thomas",Apartments.com,4946.05,USD,04/05/2024,FALSE,24/12/2020
42416,"Goodwin, Austin and Bryant",Airbnb,3508.72,USD,13/02/2024,TRUE,25/05/2022
42417,Andrews-Davidson,Craigslist,2551.02,USD,10/08/2022,TRUE,25/01/2024
42418,"Noble, Kelley and Carr",Craigslist,1894.36,INR,02/03/2022,FALSE,30/09/2023
42419,Johnson-Wood,Craigslist,4254.85,USD,28/02/2021,TRUE,14/03/2023
42420,Roberts and Sons,Airbnb,1478.29,INR,13/03/2021,FALSE,05/04/2022
42421,Reyes Ltd,Zillow,3199.97,USD,23/05/2024,FALSE,12/01/2025
42422,"Chang, Smith and Green",Realtor,3742.73,EUR,22/07/2022,FALSE,26/08/2020
42423,Mitchell-Garcia,Craigslist,1814.04,INR,29/03/2020,TRUE,26/02/2020
42424,Wilson LLC,Airbnb,3435.9,EUR,28/05/2024,FALSE,21/02/2022
42425,"Walker, Bird and Lewis",Airbnb,2677.47,EUR,03/04/2024,TRUE,18/02/2020
42426,Hopkins LLC,Craigslist,3796.98,INR,28/09/2020,TRUE,09/10/2022
42427,Skinner and Sons,Airbnb,3992.64,INR,26/11/2021,TRUE,22/04/2020
42428,"Barrett, Nguyen and Stanley",Craigslist,2844.58,USD,22/01/2025,TRUE,25/06/2023
42429,Cook Inc,Realtor,3174.52,EUR,26/04/2024,FALSE,14/02/2024
42430,"Butler, Holder and King",Craigslist,3761.89,USD,30/08/2023,TRUE,12/11/2024
42431,Cardenas-Ramirez,Realtor,4094.92,USD,26/08/2022,TRUE,01/06/2020
42432,Mathews LLC,Craigslist,2990.92,USD,11/07/2021,FALSE,07/11/2021
42433,Brennan and Sons,Zillow,4834.39,USD,18/01/2021,FALSE,23/11/2022
42434,Tran-Turner,Airbnb,1644.43,USD,20/09/2023,FALSE,07/12/2021
42435,"Crawford, Mitchell and Young",Apartments.com,3700.45,INR,27/05/2024,TRUE,19/06/2020
42436,Knox Group,Zillow,1640.01,INR,24/09/2024,FALSE,19/06/2024
42437,Tucker and Sons,Apartments.com,3780.35,USD,01/09/2021,TRUE,29/10/2023
42438,"Jones, Lee and Lewis",Apartments.com,3310.83,EUR,27/04/2020,FALSE,11/04/2024
42439,Vega LLC,Zillow,1844.34,USD,02/10/2024,FALSE,17/01/2025
42440,Hernandez-Blanchard,Realtor,4028.09,INR,06/07/2021,TRUE,28/12/2021
42441,"Richardson, Baxter and Smith",Craigslist,1692.47,INR,12/01/2025,TRUE,21/11/2021
42442,Thomas-Jones,Zillow,4965.13,INR,25/03/2021,FALSE,26/04/2020
42443,Schmidt PLC,Zillow,4244.02,EUR,05/09/2024,FALSE,24/03/2023
42444,"Burnett, Carter and Peterson",Airbnb,1179.46,EUR,10/07/2021,TRUE,05/06/2024
42445,Mills Group,Airbnb,1429.29,EUR,22/02/2022,FALSE,22/08/2024
42446,"Robinson, Martin and Jennings",Realtor,1327.26,USD,14/07/2024,FALSE,30/08/2020
42447,Phillips Inc,Apartments.com,2499.1,INR,24/08/2020,TRUE,10/09/2021
42448,"Lee, Walls and Bennett",Apartments.com,3098.79,USD,09/10/2022,TRUE,05/03/2023
42449,"Martinez, Murphy and Taylor",Realtor,4204.72,EUR,09/09/2021,TRUE,17/02/2020
42450,Johnson Group,Apartments.com,3604.8,INR,05/09/2020,FALSE,30/10/2020
42451,Ray-Walton,Zillow,3261.74,INR,20/05/2021,FALSE,03/07/2022
42452,"Clark, Brock and Frank",Apartments.com,3623.63,USD,22/03/2024,FALSE,29/04/2022
42453,Woodard-Stanley,Craigslist,1776.63,USD,24/02/2023,FALSE,05/01/2024
42454,Johnston-Thomas,Realtor,3557.29,EUR,05/01/2023,TRUE,23/08/2021
42455,"Pacheco, Ruiz and Fuller",Airbnb,1579.14,INR,27/11/2024,FALSE,24/02/2022
42456,"Lopez, Bruce and Brown",Apartments.com,4576.75,USD,26/05/2022,FALSE,21/05/2023
42457,"Riddle, Rodriguez and Woods",Zillow,2890.1,EUR,05/12/2022,FALSE,02/11/2023
42458,Mills Ltd,Craigslist,2892.77,USD,13/04/2022,FALSE,02/02/2025
42459,"Baxter, Knight and Shaw",Realtor,2929.43,EUR,20/11/2022,FALSE,12/09/2023
42460,Nelson-Evans,Craigslist,2022.68,INR,03/06/2024,TRUE,24/04/2024
42461,Dunlap and Sons,Airbnb,3237.37,INR,16/03/2023,TRUE,10/12/2022
42462,"Stevenson, Petersen and Patel",Airbnb,4100.68,INR,09/04/2023,FALSE,28/01/2020
42463,"Mullins, Fischer and Castillo",Zillow,1230.26,INR,02/05/2022,FALSE,18/05/2024
42464,Fields-Parker,Apartments.com,1295.34,EUR,24/05/2024,FALSE,05/04/2023
42465,Haynes PLC,Craigslist,4837.31,USD,09/06/2020,FALSE,15/09/2021
42466,"Bell, Blair and Turner",Realtor,4085.28,INR,08/02/2025,TRUE,18/10/2023
42467,Byrd PLC,Craigslist,4454.99,EUR,19/04/2023,TRUE,12/03/2023
42468,"Sandoval, Jackson and Dean",Apartments.com,3981.13,EUR,11/11/2024,TRUE,20/11/2021
42469,"Young, Howard and Hickman",Craigslist,2925.42,EUR,29/01/2025,TRUE,17/12/2023
42470,Martinez-Gutierrez,Craigslist,3957.6,INR,02/08/2021,FALSE,03/12/2022
42471,Kirk LLC,Craigslist,2644.46,INR,23/07/2023,FALSE,09/06/2020
42472,"Crosby, Miller and Snyder",Realtor,4644.58,EUR,11/01/2023,FALSE,13/03/2022
42473,Chaney Group,Airbnb,3203.36,INR,05/03/2024,TRUE,12/01/2024
42474,"Dominguez, Rodriguez and Barron",Realtor,2672.9,USD,22/05/2020,TRUE,20/08/2022
42475,Blackburn Inc,Craigslist,4957.28,INR,14/01/2025,TRUE,09/04/2022
42476,Williams-Lindsey,Apartments.com,1586.8,USD,20/03/2024,TRUE,01/05/2023
42477,Porter Ltd,Realtor,1153.51,EUR,30/03/2021,TRUE,13/11/2022
42478,Salas-Brown,Realtor,2734.58,EUR,17/05/2023,FALSE,15/07/2021
42479,Murphy Ltd,Zillow,1777.27,INR,27/07/2022,FALSE,28/05/2022
42480,"Robinson, Gonzalez and Scott",Apartments.com,2061.92,USD,16/01/2024,TRUE,14/04/2020
42481,"Porter, Williams and Turner",Realtor,2775.42,USD,24/07/2020,TRUE,27/04/2022
42482,"Evans, Li and Johnson",Realtor,1793.95,EUR,10/11/2024,TRUE,31/08/2021
42483,Lopez-Jones,Apartments.com,1212.56,EUR,29/03/2023,TRUE,05/03/2021
42484,"Martinez, Reyes and Wise",Craigslist,2672.71,INR,08/11/2024,TRUE,03/01/2025
42485,"Mendoza, Barrett and Thompson",Craigslist,3416.87,USD,13/04/2022,TRUE,29/03/2023
42486,"Montgomery, Miller and Morgan",Realtor,1669.04,EUR,05/04/2021,FALSE,21/05/2023
42487,Cobb Inc,Airbnb,2244.84,USD,11/01/2022,TRUE,01/05/2020
42488,Myers-Graves,Zillow,3227.74,USD,19/04/2021,FALSE,03/07/2020
42489,"Smith, Smith and Horn",Zillow,3174.02,USD,18/01/2023,TRUE,04/03/2025
42490,Schwartz-Jenkins,Apartments.com,4833.48,INR,15/05/2024,FALSE,26/10/2024
42491,"Williams, Wilson and Pena",Craigslist,1257.55,INR,16/06/2020,FALSE,25/03/2023
42492,Brown-Dominguez,Zillow,2422.73,USD,27/07/2024,TRUE,15/09/2023
42493,Sparks Ltd,Apartments.com,4408.46,USD,10/10/2024,FALSE,09/03/2020
42494,Gordon-Jones,Airbnb,2719.23,INR,29/10/2020,TRUE,02/10/2023
42495,Mack-Petersen,Airbnb,4664.09,EUR,15/07/2023,FALSE,10/03/2020
42496,"Medina, Santana and Jones",Realtor,1949.78,EUR,17/04/2023,TRUE,31/05/2022
42497,Velez Inc,Craigslist,3943.78,USD,22/11/2020,FALSE,21/07/2023
42498,Mueller Group,Apartments.com,1301.84,USD,07/09/2023,FALSE,27/08/2023
42499,Hall-Wu,Apartments.com,4861.51,USD,21/05/2021,FALSE,17/10/2024
42500,Andrade Ltd,Craigslist,2640.08,INR,19/10/2023,FALSE,01/05/2023
42501,"Patel, Saunders and Bowman",Apartments.com,4424.96,INR,29/02/2020,TRUE,15/08/2022
42502,"Castillo, Smith and Gross",Realtor,2069.03,INR,02/04/2023,FALSE,11/01/2025
42503,Myers Group,Zillow,4876.41,USD,27/08/2020,TRUE,03/05/2020
42504,Lee-Johnson,Apartments.com,2084.86,EUR,25/12/2023,TRUE,28/05/2021
42505,"Schmidt, Hayes and Hawkins",Apartments.com,3333.96,USD,24/10/2022,FALSE,23/07/2024
